Unnamed: 0,title,price,city,datetime,nb_rooms,nb_baths,surface_area,equipement,link
0,CMN-MA-1641 - Appartement à vendre à Val Fleurie,1600000.0,Casablanca,2024-11-06 12:12:49,3,1,132.0,"Ascenseur, Balcon, Parking, Terrasse",https://www.avito.ma/fr/val_fleuri/appartements/CMN_MA_1641___Appartement_%C3%A0_vendre_%C3%A0_Val_Fleurie_55294484.htm
1,Appartement à vendre 125 m² à Casablanca,9900.0,Casablanca,2024-11-06 12:12:26,2,2,125.0,"Balcon, Climatisation, Cuisine Équipée, Parking, Sécurité, Terrasse",https://www.avito.ma/fr/autre_secteur/appartements/Appartement_%C3%A0_vendre_125_m%C2%B2_%C3%A0_Casablanca_53475566.htm
2,CMN-MA-1787 - Appartement à vendre à Les Hôpitaux,2300000.0,Casablanca,2024-11-06 12:10:48,3,2,233.0,"Ascenseur, Balcon, Parking, Terrasse",https://www.avito.ma/fr/quartier_des_h%C3%B4pitaux/appartements/CMN_MA_1787___Appartement_%C3%A0_vendre_%C3%A0_Les_H%C3%B4pitaux_55743364.htm
3,Appartement à vendre 3 chambres Salon à Casa,1050000.0,Casablanca,2024-11-06 12:10:57,0,0,0.0,"Ascenseur, Balcon, Parking, Terrasse",https://www.avito.ma/fr/ain_sebaa/appartements/Appartement_%C3%A0_vendre__3_chambres_Salon_%C3%A0_Casa_55246502.htm
4,Appartement à vendre 50 m² à Casablanca,1050000.0,Casablanca,2024-10-04 12:22:09,0,0,0.0,"Ascenseur, Balcon, Parking, Terrasse",https://immoneuf.avito.ma/fr/unite/l53?utm_source=avito_integration&utm_medium=listing_integration
5,Appartement à vendre 202 m² à Casablanca,3000000.0,Casablanca,2024-11-06 11:59:43,4,3,202.0,"Ascenseur, Balcon, Climatisation, Concierge, Terrasse",https://www.avito.ma/fr/maarif/appartements/Appartement_%C3%A0_vendre_202_m%C2%B2_%C3%A0_Casablanca_55362270.htm
6,Appartement 76 m² bien ensoleillé avec terrasse,17500.0,Casablanca,2024-11-06 11:59:29,2,2,76.0,"Ascenseur, Balcon, Concierge, Cuisine Équipée, Parking, Terrasse",https://www.avito.ma/fr/oasis/appartements/Appartement_76_m%C2%B2_bien_ensoleill%C3%A9_avec_terrasse_54419380.htm
7,Appartement à vendre 72 m² à Casablanca,750000.0,Casablanca,2024-11-06 11:58:58,2,2,81.0,"Ascenseur, Concierge, Parking, Sécurité, Terrasse",https://www.avito.ma/fr/a%C3%AFn_borja/appartements/Appartement_%C3%A0_vendre_72_m%C2%B2_%C3%A0_Casablanca_50029580.htm
8,Grand Appart 212 m² à Californie,2100000.0,Casablanca,2024-11-06 11:58:12,3,2,212.0,"Ascenseur, Chauffage, Climatisation, Concierge, Cuisine Équipée, Parking, Sécurité, Terrasse",https://www.avito.ma/fr/californie/appartements/Grand_Appart__212_m%C2%B2_%C3%A0_Californie__55699077.htm
9,Appartement à vendre 50 m² à Casablanca,1050000.0,Casablanca,2024-10-04 12:22:09,0,0,0.0,"Ascenseur, Balcon, Parking, Terrasse",https://immoneuf.avito.ma/fr/unite/GFg?utm_source=avito_integration&utm_medium=listing_integration
10,Appartement à vendre 116 m² à Casablanca,1050000.0,Casablanca,2024-11-06 11:57:33,0,0,0.0,"Ascenseur, Balcon, Parking, Terrasse",https://www.avito.ma/fr/bourgogne/appartements/Appartement_%C3%A0_vendre_116_m%C2%B2_%C3%A0_Casablanca_55443110.htm
11,Appartement à vendre 140 m² à Casablanca,1050000.0,Casablanca,2024-11-06 11:57:14,4,2,160.0,"Ascenseur, Balcon, Parking, Terrasse",https://www.avito.ma/fr/ain_sebaa/appartements/Appartement_%C3%A0_vendre_140_m%C2%B2_%C3%A0_Casablanca_54490284.htm
